Timestamp,What is your username?,What is your discord username?,What score did you get? (view https://gamebanana.com/mods/519339 for score instructions),Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
6/23/2024 20:53:08,Scrubz,Scrubz,1020,https://youtu.be/KIb4JHoOjsY,Yes
6/24/2024 8:28:05,B1ackZer0,B1ackZer0,1018,https://imgur.com/a/RC9YkKl,Yes
6/21/2024 12:45:13,YeetTheTable,YeetTheTable,1018,https://imgur.com/a/LYc8Kbt,Yes
6/24/2024 9:00:00,Lion3cub,Lion3cub,1016,https://cdn.discordapp.com/attachments/1249796816254533665/1254099908378759199/Screenshot_2024-06-22_at_11.43.23_AM.png?ex=667a3d4e&is=6678ebce&hm=a389803a5817962ae8773cf8dee300049d2771597f48e92e59d11034daa3184d&,Yes
6/21/2024 12:54:48,Rilp_,rilp_,1016,https://imgur.com/a/apAWQIU,Yes
6/22/2024 14:30:00,没事儿爱唱歌,没事儿爱唱歌,1016,https://imgur.com/a/TjgmTEt,Yes
6/22/2024 15:44:00,zhujiao,zhujiao,1014,https://imgur.com/a/39kCOXA,Yes
6/24/2024 10:47:08,some._.gal,some._.gal,1012,https://imgur.com/a/sGcWOeR,Yes
6/21/2024 19:58:57,Viv,vividescence,1012,https://imgur.com/a/L9chBku,Yes
6/21/2024 22:13:45,OSoverspike,osoverspike,1012,https://youtu.be/_ShQuNscjXE,Yes
6/21/2024 20:04:55,thebigcup,thebigcup,1010,https://imgur.com/GTiTZek,Yes
6/21/2024 12:36:10,Yoshachobi7,Yoshachobi7,1010,https://www.youtube.com/live/WuVaZZR240g,Yes
6/21/2024 17:36:49,Nebulae,Tychos_nova,1010,https://imgur.com/a/zO44R0Q,Yes
6/22/2024 15:45:03,a_jojo_weeb,ajojoweeb,1010,https://imgur.com/a/pikARI4,Yes
6/23/2024 10:05:18,Lit towel,littowel,1010,https://imgur.com/a/oAGa0St,Yes
6/22/2024 13:07:00,啊鸿呀i,啊鸿呀i,1010,https://imgur.com/a/FzPdkHH,Yes
2024/6/22/9:58,寂冷qing淡,寂冷qing淡,1010,https://imgur.com/a/m2qmx3b,Yes
6/21/2024 12:42:24,Obsidia_X,obsidia_x,1008,https://imgur.com/a/jBhNaWR,Yes
6/21/2024 14:20:12,Appels,appelsappelsappels,1008,https://imgur.com/a/xzprOzg,Yes
